iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
KEN,1949,NA,Kenya,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KEN,1949,NA,Kenya,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KGZ,1949,NA,Kyrgyz Republic,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KGZ,1949,NA,Kyrgyz Republic,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KHM,1949,NA,Cambodia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KHM,1949,NA,Cambodia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KOR,1949,NA,"Korea, South",NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KOR,1949,NA,"Korea, South",NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KSV,1949,NA,Kosovo,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KSV,1949,NA,Kosovo,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KWT,1949,NA,Kuwait,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KWT,1949,NA,Kuwait,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LAO,1949,NA,Laos,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LAO,1949,NA,Laos,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LBN,1949,NA,Lebanon,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LBN,1949,NA,Lebanon,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LBR,1949,NA,Liberia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LBR,1949,NA,Liberia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LBY,1949,NA,Libya,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LBY,1949,NA,Libya,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LKA,1949,NA,Sri Lanka,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LKA,1949,NA,Sri Lanka,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LSO,1949,NA,Lesotho,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
LSO,1949,NA,Lesotho,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
LTU,1949,NA,Lithuania,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
LTU,1949,NA,Lithuania,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
LUX,1949,NA,Luxembourg,2.2298851905588344,Current USD (m),NA,NA,NA,NA,NA,TRUE
LUX,1949,NA,Luxembourg,25.35557925746392,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
LVA,1949,NA,Latvia,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
LVA,1949,NA,Latvia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
