year,iso3c,neighbors
1973,ZAF,"ZWE, LSO, BWA, SWZ"
1973,LSO,ZAF
1973,BWA,"ZMB, ZWE, ZAF"
1973,SWZ,ZAF
1973,MDG,
1973,MUS,
1973,MAR,"ESP, MRT, DZA"
1973,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1973,TUN,"DZA, LBY"
1973,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1973,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1973,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
1973,TUR,"GRC, BGR, RUS, IRN, IRQ, SYR"
1973,IRQ,"IRN, TUR, SYR, JOR, SAU, KWT"
1973,EGY,"LBY, SDN, ISR"
1973,SYR,"TUR, IRQ, LBN, JOR, ISR"
1973,LBN,"SYR, ISR"
1973,JOR,"IRQ, SYR, ISR, SAU"
1973,ISR,"EGY, SYR, LBN, JOR, SAU"
1973,SAU,"IRQ, JOR, ISR, KWT, BHR, QAT, ARE, OMN"
1973,KWT,"IRN, IRQ, SAU"
1973,BHR,"SAU, QAT"
1973,QAT,"SAU, BHR, ARE"
1973,ARE,"SAU, QAT, OMN"
1973,OMN,"SAU, ARE"
1973,AFG,"RUS, IRN, CHN, PAK"
1973,CHN,"RUS, AFG, MNG, PRK, IND, BTN, PAK, MMR, NPL, LAO"
1973,MNG,"RUS, CHN"
1973,TWN,
1973,PRK,"RUS, CHN, KOR"
1973,KOR,PRK
1973,JPN,
1973,IND,"CHN, BTN, PAK, BGD, MMR, LKA, NPL"
1973,BTN,"CHN, IND"
1973,PAK,"RUS, IRN, AFG, CHN, IND"
1973,BGD,"IND, MMR, NPL"
1973,MMR,"CHN, IND, BGD, THA, LAO"
1973,LKA,IND
1973,MDV,
1973,NPL,"CHN, IND, BGD"
1973,THA,"MMR, KHM, LAO, MYS"
1973,KHM,"THA, LAO, VNM"
1973,LAO,"CHN, MMR, THA, KHM, VNM"
1973,VNM,"KHM, LAO"
1973,MYS,"THA, SGP, IDN"
1973,SGP,"MYS, IDN"
1973,PHL,
1973,IDN,"MYS, SGP"
1973,AUS,
1973,NZL,
1973,FJI,
1974,USA,"CAN, MEX"
1974,CAN,USA
1974,BHS,
1974,CUB,
1974,HTI,DOM
1974,DOM,HTI
1974,JAM,
1974,TTO,VEN
1974,BRB,
1974,MEX,"USA, GTM"
1974,GTM,"MEX, HND, SLV"
1974,HND,"GTM, SLV, NIC"
1974,SLV,"GTM, HND, NIC"
1974,NIC,"HND, SLV, CRI"
1974,CRI,"NIC, PAN"
1974,PAN,"CRI, COL"
1974,COL,"PAN, VEN, ECU, PER, BRA"
1974,VEN,"TTO, COL, GUY, BRA"
1974,GUY,"VEN, BRA"
1974,ECU,"COL, PER"
1974,PER,"COL, ECU, BRA, BOL, CHL"
1974,BRA,"COL, VEN, GUY, PER, BOL, PRY, ARG, URY"
1974,BOL,"PER, BRA, PRY, CHL, ARG"
1974,PRY,"BRA, BOL, ARG"
1974,CHL,"PER, BOL, ARG"
1974,ARG,"BRA, BOL, PRY, CHL, URY"
1974,URY,"BRA, ARG"
1974,GBR,IRL
1974,IRL,GBR
1974,NLD,"BEL, DEU"
1974,BEL,"NLD, LUX, FRA, DEU"
1974,LUX,"BEL, FRA, DEU"
1974,FRA,"BEL, LUX, CHE, ESP, DEU, ITA"
1974,CHE,"FRA, DEU, AUT, ITA"
1974,ESP,"FRA, PRT, MAR"
1974,PRT,ESP
1974,DEU,"NLD, BEL, LUX, FRA, CHE, AUT, DNK"
1974,POL,RUS
1974,AUT,"CHE, DEU, HUN, ITA"
1974,HUN,"AUT, ROU, RUS"
1974,ITA,"FRA, CHE, AUT"
1974,MLT,
1974,ALB,GRC
1974,GRC,"ALB, BGR, TUR"
1974,CYP,
1974,BGR,"GRC, ROU, TUR"
1974,ROU,"HUN, BGR, RUS"
1974,RUS,"POL, HUN, ROU, FIN, NOR, IRN, TUR, AFG, CHN, MNG, PRK, PAK"
1974,FIN,"RUS, SWE, NOR"
1974,SWE,"FIN, NOR, DNK"
1974,NOR,"RUS, FIN, SWE"
1974,DNK,"DEU, SWE"
1974,ISL,
1974,GNQ,"CMR, GAB"
1974,GMB,SEN
1974,MLI,"SEN, MRT, NER, CIV, GIN, BFA, DZA"
1974,SEN,"GMB, MLI, MRT, GIN"
1974,BEN,"NER, BFA, GHA, TGO, NGA"
1974,MRT,"MLI, SEN, MAR, DZA"
1974,NER,"MLI, BEN, BFA, NGA, TCD, DZA, LBY"
1974,CIV,"MLI, GIN, BFA, LBR, GHA"
1974,GIN,"MLI, SEN, CIV, LBR, SLE"
1974,BFA,"MLI, BEN, NER, CIV, GHA, TGO"
1974,LBR,"CIV, GIN, SLE"
1974,SLE,"GIN, LBR"
1974,GHA,"BEN, CIV, BFA, TGO"
1974,TGO,"BEN, BFA, GHA"
1974,CMR,"GNQ, NGA, GAB, CAF, TCD, COG"
1974,NGA,"BEN, NER, CMR, TCD"
1974,GAB,"GNQ, CMR, COG"
1974,CAF,"CMR, TCD, COG, COD, SDN"
1974,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1974,COG,"CMR, GAB, CAF, COD"
1974,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1974,UGA,"COD, KEN, TZA, RWA, SDN"
1974,KEN,"UGA, TZA, SOM, ETH, SDN"
1974,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1974,BDI,"COD, TZA, RWA"
1974,RWA,"COD, UGA, TZA, BDI"
1974,SOM,"KEN, ETH"
1974,ETH,"KEN, SOM, SDN"
1974,ZMB,"COD, TZA, ZWE, MWI, BWA"
1974,ZWE,"ZMB, ZAF, BWA"
1974,MWI,"TZA, ZMB"
1974,ZAF,"ZWE, LSO, BWA, SWZ"
1974,LSO,ZAF
1974,BWA,"ZMB, ZWE, ZAF"
1974,SWZ,ZAF
1974,MDG,
1974,MUS,
1974,MAR,"ESP, MRT, DZA"
1974,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1974,TUN,"DZA, LBY"
1974,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1974,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1974,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
1974,TUR,"GRC, BGR, RUS, IRN, IRQ, SYR"
1974,IRQ,"IRN, TUR, SYR, JOR, SAU, KWT"
1974,EGY,"LBY, SDN, ISR"
1974,SYR,"TUR, IRQ, LBN, JOR, ISR"
1974,LBN,"SYR, ISR"
1974,JOR,"IRQ, SYR, ISR, SAU"
1974,ISR,"EGY, SYR, LBN, JOR, SAU"
1974,SAU,"IRQ, JOR, ISR, KWT, BHR, QAT, ARE, OMN"
1974,KWT,"IRN, IRQ, SAU"
1974,BHR,"SAU, QAT"
1974,QAT,"SAU, BHR, ARE"
1974,ARE,"SAU, QAT, OMN"
1974,OMN,"SAU, ARE"
